searge,name,side,desc
field_228531_w_,OVERLAY_DISABLED,0,
field_228532_x_,DIFFUSE_LIGHTING_ENABLED,0,
field_228533_y_,DIFFUSE_LIGHTING_DISABLED,0,
field_228534_z_,CULL_ENABLED,0,
field_228610_Q_,colorMask,0,
field_228611_R_,depthMask,0,
field_228614_Q_,LINES,0,
field_228615_R_,SOLID,0,
field_228616_S_,CUTOUT_MIPPED,0,
field_228617_T_,CUTOUT,0,
field_228618_U_,TRANSLUCENT,0,
field_228619_V_,TRANSLUCENT_NO_CRUMBLING,0,
field_228620_W_,LEASH,0,
field_228621_X_,WATER_MASK,0,
field_228622_Y_,GLINT,0,
field_228623_Z_,ENTITY_GLINT,0,
field_228624_aa_,LIGHTNING,0,
field_228625_ab_,vertexFormat,0,
field_228626_ac_,glMode,0,
field_228628_ae_,useDelegate,0,
field_228629_af_,needsSorting,0,
field_228667_R_,INSTANCES,0,
field_228668_S_,renderState,0,
field_228669_T_,hashCode,0,
field_228677_a_,texture,0,
field_228678_b_,transparency,0,
field_228679_c_,diffuseLighting,0,
field_228680_d_,shadowModel,0,
field_228681_e_,alpha,0,
field_228682_f_,depthTest,0,
field_228683_g_,cull,0,
field_228684_h_,lightmap,0,
field_228685_i_,overlay,0,
field_228686_j_,fog,0,
field_228687_k_,layer,0,
field_228688_l_,target,0,
field_228689_m_,texturing,0,
field_228690_n_,writeMask,0,
field_228691_o_,line,0,
field_228693_q_,renderStates,0,
field_228698_a_,texture,0,
field_228699_b_,transparency,0,
field_228700_c_,diffuseLighting,0,
field_228701_d_,shadeModel,0,
field_228702_e_,alpha,0,
field_228703_f_,depthTest,0,
field_228704_g_,cull,0,
field_228705_h_,lightmap,0,
field_228706_i_,overlay,0,
field_228707_j_,fog,0,
field_228708_k_,layer,0,
field_228709_l_,target,0,
field_228710_m_,texturing,0,
field_228711_n_,writeMask,0,
field_228712_o_,line,0,
field_229184_g_,x,0,
field_229185_h_,y,0,
field_229186_i_,z,0,
field_229196_a_,DEFAULT_LIGHT,0,
field_229744_i_,isMovePacket,0,
field_230003_aR_,KEY_VALUE_SPLITTER,0,
